model,delta,loss_mse_vs_ref,n_shifted_gates,value_Mz,ref_Mz,value_XX_bond_avg,ref_XX_bond_avg,value_YY_bond_avg,ref_YY_bond_avg,value_ZZ_bond_avg,ref_ZZ_bond_avg,value_E_bond,ref_E_bond
heisenberg,-1.6673620996229055,0.002959114582821632,60.0,0.6477823170077686,0.7169876017330581,-0.003078407916826313,-0.012074758238173989,-0.019558445171289518,-0.006957070082509616,0.44109002849777795,0.5109487851385262,0.4184531754096621,0.49191695681784253
ising,-1.6673620996229055,7.446823529411784e-05,20.0,0.8947999999999998,0.8996400000000001,1.9892770811470725e-35,-6.219055028315628e-20,-1.9892770811470725e-35,-5.28725821232346e-20,0.7809999999999999,0.791,0.7809999999999999,0.791
heisenberg,-1.577669571381064,0.0014212516958470468,60.0,0.6630659255845054,0.7169876017330581,-0.003884902627375072,-0.012074758238173989,-0.01677683418960773,-0.006957070082509616,0.4675613945654119,0.5109487851385262,0.4468996577484291,0.49191695681784253
ising,-1.577669571381064,0.00024962117647058603,20.0,0.9063999999999999,0.8996400000000001,8.462579154093166e-35,-6.219055028315628e-20,-8.462579154093166e-35,-5.28725821232346e-20,0.8064999999999998,0.791,0.8064999999999998,0.791
heisenberg,-1.492797295166556,0.0010126872703701687,60.0,0.6737609094896497,0.7169876017330581,-0.008380432785213436,-0.012074758238173989,-0.014995767356028877,-0.006957070082509616,0.47314597746511866,0.5109487851385262,0.44976977732387635,0.49191695681784253
ising,-1.492797295166556,4.4962352941176e-05,20.0,0.9011999999999999,0.8996400000000001,-4.928829586034689e-36,-6.219055028315628e-20,4.928829586034689e-36,-5.28725821232346e-20,0.7959999999999998,0.791,0.7959999999999998,0.791
heisenberg,-1.4124859608114548,0.0006869452056745694,60.0,0.6896657811074218,0.7169876017330581,-0.0007043507699215735,-0.012074758238173989,-0.012931592767780588,-0.006957070082509616,0.4913415595939864,0.5109487851385262,0.47770561605628425,0.49191695681784253
ising,-1.4124859608114548,5.220941176470658e-05,20.0,0.9020000000000001,0.8996400000000001,-5.66637743765755e-20,-6.219055028315628e-20,-5.666377437657546e-20,-5.28725821232346e-20,0.7935000000000001,0.791,0.7935000000000001,0.791
heisenberg,-1.336490193188253,0.0008166855582289206,60.0,0.6890453861925521,0.7169876017330581,0.0026411426019871953,-0.012074758238173989,-0.00929646950507548,-0.006957070082509616,0.47961654178881663,0.5109487851385262,0.47296121488572834,0.49191695681784253
ising,-1.336490193188253,0.00019277411764705873,20.0,0.8964000000000001,0.8996400000000001,7.466504409001336e-21,-6.219055028315628e-20,7.466504409001151e-21,-5.28725821232346e-20,0.7865,0.791,0.7865,0.791
heisenberg,-1.2645778025155159,0.000216929861881142,60.0,0.6975034025136136,0.7169876017330581,-0.0014425525137104793,-0.012074758238173989,-0.0073588561957060785,-0.006957070082509616,0.5034306654817682,0.5109487851385262,0.49462925677235164,0.49191695681784253
ising,-1.2645778025155159,8.19976470588239e-05,20.0,0.9024000000000001,0.8996400000000001,-3.1080525713522035e-23,-6.219055028315628e-20,-3.108052571366447e-23,-5.28725821232346e-20,0.7969999999999999,0.791,0.7969999999999999,0.791
heisenberg,-1.1965290749487103,0.00030211810641204854,60.0,0.6957567844509089,0.7169876017330581,-0.0032533765597299626,-0.012074758238173989,-0.006231639138804041,-0.006957070082509616,0.4959638207444733,0.5109487851385262,0.4864788050459393,0.49191695681784253
ising,-1.1965290749487103,0.00013423294117647074,20.0,0.9043999999999999,0.8996400000000001,4.4726769191750944e-35,-6.219055028315628e-20,-4.4726769191750944e-35,-5.28725821232346e-20,0.8029999999999999,0.791,0.8029999999999999,0.791
heisenberg,-1.132136101288749,0.0007642409364289154,60.0,0.6870401384491716,0.7169876017330581,-0.007152265149210934,-0.012074758238173989,-0.006435119396085924,-0.006957070082509616,0.4695277882240145,0.5109487851385262,0.45594040367871763,0.49191695681784253
ising,-1.132136101288749,2.938588235294103e-05,20.0,0.898,0.8996400000000001,1.4671370189475224e-19,-6.219055028315628e-20,1.467137018947522e-19,-5.28725821232346e-20,0.7845,0.791,0.7845,0.791
heisenberg,-1.0712021417572508,0.00011272010890490225,60.0,0.7121908626487505,0.7169876017330581,-0.008874224250530232,-0.012074758238173989,-0.01071969931607294,-0.006957070082509616,0.5131267002196223,0.5109487851385262,0.4935327766530191,0.49191695681784253
ising,-1.0712021417572508,0.00042232705882352907,20.0,0.9064,0.8996400000000001,2.100960339290026e-20,-6.219055028315628e-20,2.1009603392900277e-20,-5.28725821232346e-20,0.802,0.791,0.802,0.791
heisenberg,-1.013541024897726,0.0004006957772732896,60.0,0.6951695120916328,0.7169876017330581,-0.009489046978515634,-0.012074758238173989,-0.003306642981125741,-0.006957070082509616,0.4887325915735427,0.5109487851385262,0.47593690161390134,0.49191695681784253
ising,-1.013541024897726,0.00011253882352941189,20.0,0.8976,0.8996400000000001,-7.081806766049088e-20,-6.219055028315628e-20,-7.092400334044211e-20,-5.28725821232346e-20,0.789,0.791,0.789,0.791
heisenberg,-0.9589765787661355,0.00019002489070500417,60.0,0.703341517577989,0.7169876017330581,-0.012576142748841753,-0.012074758238173989,-0.007486532150973858,-0.006957070082509616,0.49619314412384924,0.5109487851385262,0.4761304692240336,0.49191695681784253
ising,-0.9589765787661355,7.173882352941095e-05,20.0,0.8948,0.8996400000000001,-1.54300681554506e-35,-6.219055028315628e-20,1.54300681554506e-35,-5.28725821232346e-20,0.7825000000000002,0.791,0.7825000000000002,0.791
heisenberg,-0.9073420926729556,0.00024067180851146172,60.0,0.7006369821029346,0.7169876017330581,-0.014459361880521543,-0.012074758238173989,-0.007298116402638108,-0.006957070082509616,0.48759318186484557,0.5109487851385262,0.4658357035816859,0.49191695681784253
ising,-0.9073420926729556,0.00010355058823529456,20.0,0.8952,0.8996400000000001,-1.5653115202026454e-19,-6.219055028315628e-20,-1.5653115202026476e-19,-5.28725821232346e-20,0.7825,0.791,0.7825,0.791
heisenberg,-0.8584798078321985,6.441045410525538e-05,60.0,0.7143067694279627,0.7169876017330581,-0.013116376661408469,-0.012074758238173989,-0.007202999241109947,-0.006957070082509616,0.5020669701491652,0.5109487851385262,0.4817475942466468,0.49191695681784253
ising,-0.8584798078321985,3.084470588235287e-05,20.0,0.8952,0.8996400000000001,3.0227539169140407e-22,-6.219055028315628e-20,3.022753916914458e-22,-5.28725821232346e-20,0.784,0.791,0.784,0.791
heisenberg,-0.8122404353611755,0.00032759304151286204,60.0,0.7108099621932311,0.7169876017330581,-0.01636582653445772,-0.012074758238173989,-0.009572727524854283,-0.006957070082509616,0.4940126290874044,0.5109487851385262,0.4680740750280924,0.49191695681784253
ising,-0.8122404353611755,0.0002126329411764698,20.0,0.9056,0.8996400000000001,2.6851490035438974e-35,-6.219055028315628e-20,-2.6851490035438974e-35,-5.28725821232346e-20,0.8069999999999999,0.791,0.8069999999999999,0.791
heisenberg,-0.7684827001583442,0.0001131751823890204,60.0,0.7262223386225932,0.7169876017330581,-0.01662048295171654,-0.012074758238173989,-0.01015316987458138,-0.006957070082509616,0.5232110628098507,0.5109487851385262,0.49643740998355285,0.49191695681784253
ising,-0.7684827001583442,0.00016957411764706174,20.0,0.9048000000000002,0.8996400000000001,9.53846466199287e-20,-6.219055028315628e-20,9.538464661992848e-20,-5.28725821232346e-20,0.8035000000000001,0.791,0.8035000000000001,0.791
heisenberg,-0.7270729092656553,9.076907341676134e-05,60.0,0.7196845613684155,0.7169876017330581,-0.012054330225090094,-0.012074758238173989,-0.0069223654651218314,-0.006957070082509616,0.5149202601119808,0.5109487851385262,0.49594356442176885,0.49191695681784253
ising,-0.7270729092656553,0.00011084470588235299,20.0,0.9,0.8996400000000001,1.2014607706798824e-19,-6.219055028315628e-20,-2.2007008478812474e-19,-5.28725821232346e-20,0.798,0.791,0.798,0.791
heisenberg,-0.68788454339661,0.00024436743318618923,60.0,0.7281422248322516,0.7169876017330581,-0.006649975139103183,-0.012074758238173989,-0.00447733684025752,-0.006957070082509616,0.5154554453096578,0.5109487851385262,0.5043281333302971,0.49191695681784253
ising,-0.68788454339661,7.442117647058847e-05,20.0,0.8940000000000001,0.8996400000000001,2.0196526904227672e-20,-6.219055028315628e-20,2.0196526904227756e-20,-5.28725821232346e-20,0.782,0.791,0.782,0.791
heisenberg,-0.6507978703820303,0.0002071784691020527,60.0,0.7309290393787109,0.7169876017330581,-0.008140693544886436,-0.012074758238173989,-0.006175339782906824,-0.006957070082509616,0.5269978971276348,0.5109487851385262,0.5126818637998415,0.49191695681784253
ising,-0.6507978703820303,7.004470588235277e-05,20.0,0.9032,0.8996400000000001,-7.413480518647776e-36,-6.219055028315628e-20,7.413480518647776e-36,-5.28725821232346e-20,0.7995000000000001,0.791,0.7995000000000001,0.791
heisenberg,-0.6156995793524987,0.00043338006888441166,60.0,0.7184458098364486,0.7169876017330581,-0.009306135642611743,-0.012074758238173989,-0.00490042886469481,-0.006957070082509616,0.5024053139491456,0.5109487851385262,0.488198749441839,0.49191695681784253
ising,-0.6156995793524987,0.0003515505882352959,20.0,0.9008,0.8996400000000001,-3.062080010184161e-35,-6.219055028315628e-20,3.062080010184161e-35,-5.28725821232346e-20,0.794,0.791,0.794,0.791
heisenberg,-0.5824824345397914,0.0009144335435482785,60.0,0.7277028524896761,0.7169876017330581,-0.007393197753832678,-0.012074758238173989,-0.00444563134023181,-0.006957070082509616,0.504850696899382,0.5109487851385262,0.4930118678053175,0.49191695681784253
ising,-0.5824824345397914,0.0002078800000000001,20.0,0.8960000000000001,0.8996400000000001,6.099549629498072e-36,-6.219055028315628e-20,-6.099549629498072e-36,-5.28725821232346e-20,0.787,0.791,0.787,0.791
heisenberg,-0.5510449476395575,0.0007284643854172432,60.0,0.735330982889131,0.7169876017330581,-0.005029061260239253,-0.012074758238173989,-0.001961631725133474,-0.006957070082509616,0.5136305646910527,0.5109487851385262,0.50663987170568,0.49191695681784253
ising,-0.5510449476395575,0.00015536235294117608,20.0,0.9012,0.8996400000000001,2.22546369042498e-19,-6.219055028315628e-20,2.2254636904249804e-19,-5.28725821232346e-20,0.7955000000000001,0.791,0.7955000000000001,0.791
heisenberg,-0.5212910677342194,0.0008657260021855797,60.0,0.7363236533534041,0.7169876017330581,-0.0032078746994153237,-0.012074758238173989,-0.001911897178743972,-0.006957070082509616,0.5140006829277604,0.5109487851385262,0.5088809110496011,0.49191695681784253
ising,-0.5212910677342194,0.00011639764705882391,20.0,0.8908000000000001,0.8996400000000001,-3.032371062981794e-35,-6.219055028315628e-20,3.032371062981794e-35,-5.28725821232346e-20,0.7755,0.791,0.7755,0.791
heisenberg,-0.49312988782871514,0.001183064134015148,60.0,0.7439074481747607,0.7169876017330581,-0.002246823179331147,-0.012074758238173989,-0.0002534278619191481,-0.006957070082509616,0.5199497011594701,0.5109487851385262,0.5174494501182199,0.49191695681784253
ising,-0.49312988782871514,0.0003549858823529413,20.0,0.8868,0.8996400000000001,-3.408908257007212e-35,-6.219055028315628e-20,4.843613406465975e-35,-5.28725821232346e-20,0.7665,0.791,0.7665,0.791
heisenberg,-0.4664753671024611,0.0016207791723429807,60.0,0.7258673573409288,0.7169876017330581,-0.0015925731940666667,-0.012074758238173989,-0.000822301814733364,-0.006957070082509616,0.48667457931455893,0.5109487851385262,0.4842597043057589,0.49191695681784253
ising,-0.4664753671024611,7.635058823529435e-05,20.0,0.8968,0.8996400000000001,9.943661440616453e-36,-6.219055028315628e-20,-9.943661440616453e-36,-5.28725821232346e-20,0.7825,0.791,0.7825,0.791
