mode,model,delta,loss_mse_vs_ref,n_shifted_gates
xx,heisenberg,0.31575944948475315,0.12852560720828782,20.0
xx,ising,0.31575944948475315,7.11576470588236e-05,0.0
xx,heisenberg,0.3339195557895039,0.148743274528187,20.0
xx,ising,0.3339195557895039,0.00022974588235294164,0.0
xx,heisenberg,0.35309988612909526,0.16802119354839137,20.0
xx,ising,0.35309988612909526,0.00014325176470588239,0.0
xx,heisenberg,0.37335904214476034,0.19620431616770964,20.0
xx,ising,0.37335904214476034,0.00011129882352941169,0.0
xx,heisenberg,0.3947589216125771,0.21040557685382746,20.0
xx,ising,0.3947589216125771,9.308705882352942e-05,0.0
xx,heisenberg,0.4173649075596779,0.23623977947924465,20.0
xx,ising,0.4173649075596779,0.00018099294117647111,0.0
xx,heisenberg,0.4412460680289318,0.2607712422768991,20.0
xx,ising,0.4412460680289318,5.482823529411775e-05,0.0
xx,heisenberg,0.46647536710246174,0.27176961662313137,20.0
xx,ising,0.46647536710246174,0.00027760470588235336,0.0
xx,heisenberg,0.49312988782871536,0.27042410770431813,20.0
xx,ising,0.49312988782871536,0.00022080470588235355,0.0
xx,heisenberg,0.5212910677342192,0.2705155369308717,20.0
xx,ising,0.5212910677342192,0.00021256941176470625,0.0
xx,heisenberg,0.5510449476395579,0.2643725329935122,20.0
xx,ising,0.5510449476395579,9.125176470588212e-05,0.0
xx,heisenberg,0.5824824345397914,0.24920603843735525,20.0
xx,ising,0.5824824345397914,2.5463529411764654e-05,0.0
xx,heisenberg,0.6156995793524993,0.2287068032726295,20.0
xx,ising,0.6156995793524993,0.00035289882352941283,0.0
xx,heisenberg,0.6507978703820303,0.1966140883038654,20.0
xx,ising,0.6507978703820303,0.0001977929411764708,0.0
xx,heisenberg,0.687884543396611,0.16611724472927542,20.0
xx,ising,0.687884543396611,0.00010127529411764729,0.0
xx,heisenberg,0.7270729092656556,0.12749925614404636,20.0
xx,ising,0.7270729092656556,0.0001469223529411766,0.0
xx,heisenberg,0.7684827001583452,0.09485254699662743,20.0
xx,ising,0.7684827001583452,0.0006270635294117661,0.0
xx,heisenberg,0.8122404353611758,0.06472403673024414,20.0
xx,ising,0.8122404353611758,5.6945882352941164e-05,0.0
xx,heisenberg,0.8584798078321985,0.040047194091041995,20.0
xx,ising,0.8584798078321985,6.880470588235323e-05,0.0
xx,heisenberg,0.9073420926729565,0.02985704648253237,20.0
xx,ising,0.9073420926729565,0.00038381647058823525,0.0
xx,heisenberg,0.9589765787661355,0.02151056207661726,20.0
xx,ising,0.9589765787661355,0.00013129882352941162,0.0
xx,heisenberg,1.0135410248977268,0.029478224616646516,20.0
xx,ising,1.0135410248977268,7.873411764705895e-05,0.0
xx,heisenberg,1.0712021417572508,0.045472946444679245,20.0
xx,ising,1.0712021417572508,0.00017986352941176472,0.0
xx,heisenberg,1.1321361012887499,0.06879054416777033,20.0
xx,ising,1.1321361012887499,9.633411764705889e-05,0.0
xx,heisenberg,1.1965290749487107,0.1087009440876914,20.0
xx,ising,1.1965290749487107,6.946352941176459e-05,0.0
