mode,delta,loss_mse
yy,-0.05020597930351803,0.09045979228916415
yy,-0.04636460632155667,0.07687479843490092
yy,-0.04266489106797654,0.07862406932930302
yy,-0.03909552980701752,0.07881147980619575
yy,-0.0356456170733233,0.08492965554030316
yy,-0.03230461235248556,0.08540129355585079
yy,-0.029062307876622468,0.08069852249938869
yy,-0.025908797436597037,0.08229720993195379
yy,-0.022834446115588027,0.08295185996193177
yy,-0.019829860851539437,0.08394560151233917
yy,-0.01688586173854889,0.0789339941265053
yy,-0.01399345397951167,0.07848577702365657
yy,-0.01114380040432747,0.0659687233765371
yy,-0.008328194469704743,0.08112276507637826
yy,-0.005538033658069007,0.07777067922585065
yy,-0.0027647931943008217,0.07759202581911608
yy,0.0,0.07735746957091139
yy,0.0027647931943008217,0.08428736617492508
yy,0.005538033658069052,0.0813831996525496
yy,0.00832819446970479,0.08507437723803137
yy,0.011143800404327516,0.08306480294645911
yy,0.013993453979511718,0.08150322390054088
yy,0.016885861738548936,0.07735930127584131
yy,0.019829860851539437,0.07901219269144884
yy,0.022834446115588027,0.07867213403727928
yy,0.025908797436597037,0.08844746172202246
yy,0.029062307876622468,0.08091351297354088
yy,0.03230461235248561,0.0944816007053365
yy,0.03564561707332336,0.0862871551238036
yy,0.03909552980701758,0.07988899651972013
yy,0.04266489106797659,0.0806129779503997
yy,0.046364606321556735,0.0847004814987023
yy,0.05020597930351803,0.08395460632335029
yy,0.05420074655631531,0.08705890137717692
yy,0.058361113287742565,0.08932426071153164
yy,0.06269979066149045,0.09159789723934003
yy,0.0672300346335501,0.08394843575628068
yy,0.07196568645312015,0.08817129306559425
yy,0.0769212149517596,0.0997521064394944
yy,0.08211176074999216,0.09256396739308904
yy,0.08755318251642662,0.09462184034978958
yy,0.09326210542072925,0.09940930774107361
yy,0.09925597192848501,0.1035182909111641
yy,0.10555309509314288,0.11120138970765103
yy,0.11217271450786703,0.11694412628894729
yy,0.11913505508824361,0.1115521522830953
yy,0.12646138886544203,0.12371321788994948
yy,0.1341740999786275,0.1405249863020241
yy,0.1422967530651956,0.1394266746374808
yy,0.15085416525778153,0.15046281692299313
yy,0.1598724820080178,0.14758705537879171
yy,0.16937925696870137,0.1622723319275456
yy,0.17940353617843813,0.1658848529809138
yy,0.18997594680597105,0.17664620159447517
yy,0.20112879072533352,0.18716129696148343
yy,0.2128961432077281,0.2073942418335652
yy,0.22531395703166346,0.2231765291025313
yy,0.2384201723294368,0.23666224774371902
yy,0.25225483250557745,0.25763461259974685
yy,0.26686020658141335,0.2773205266118109
yy,0.2822809183395642,0.31516793311277363
yy,0.298564082662933,0.3269738340866507
yy,0.31575944948475315,0.36230568753153153
yy,0.3339195557895039,0.3982884493137943
